,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
10,Abrahan Gutierrez,670868,16,15,6,57,31,23,6,0,0,10,5,1,1,5,1,0,0,0.7419354838709677,0.543859649122807,0.375,0.0,0.4,0.375,0.4666666666666667,All,53.0,7.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.4444444444444444,100.94999999999999
11,Abrahan Ramirez,800254,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,All,4.0,0.0,,,,,0.5,
12,Adael Amador,691182,40,30,9,141,56,42,5,9,1,25,8,7,2,7,2,0,0,0.75,0.3971631205673759,0.125,0.225,0.3,0.475,0.36666666666666664,All,104.0,18.0,0.4444444444444444,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.2153846153846154,106.11999999999999
13,Adam Frazier,624428,38,36,6,158,77,65,6,2,0,30,16,3,7,4,2,0,0,0.8441558441558441,0.4873417721518987,0.15789473684210525,0.05263157894736842,0.16666666666666666,0.21052631578947367,0.2222222222222222,All,150.0,28.0,0.5714285714285714,0.10714285714285714,0.25,0.2857142857142857,0.2916666666666667,97.0
14,Adam Hackenberg,680753,14,13,5,50,26,22,0,1,0,13,7,1,3,2,1,0,2,0.8461538461538461,0.52,0.0,0.07142857142857142,0.38461538461538464,0.42857142857142855,0.9230769230769231,All,38.0,11.0,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.14285714285714285,108.4
15,Adam Hall,647228,2,2,0,5,3,2,0,0,0,2,0,0,0,0,0,0,0,0.6666666666666666,0.6,0.0,0.0,0.0,0.0,0.0,All,,,,,,,,
16,Adam Zebrowski,700845,4,4,1,7,5,5,1,0,0,3,0,0,0,0,1,0,0,1.0,0.7142857142857143,0.25,0.0,0.25,0.25,0.5,All,3.0,0.0,,,,,1.0,
17,Addison Barger,680718,34,29,11,135,61,45,9,4,0,21,6,5,5,6,2,0,3,0.7377049180327869,0.45185185185185184,0.2647058823529412,0.11764705882352941,0.3793103448275862,0.4411764705882353,0.7586206896551724,All,115.0,16.0,0.375,0.3125,0.3125,0.375,0.20689655172413793,109.35
18,Addison Kopack,688551,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,All,,,,,,,,
19,Adley Rutschman,668939,48,42,15,109,55,43,8,5,1,34,3,1,0,11,1,0,3,0.7818181818181819,0.5045871559633027,0.16666666666666666,0.10416666666666667,0.35714285714285715,0.4375,0.5952380952380952,All,20.0,5.0,0.6,0.2,0.0,0.2,0.25,104.22
20,Adolis García,666969,54,50,13,189,103,69,12,2,1,39,13,6,13,6,4,0,3,0.6699029126213593,0.544973544973545,0.2222222222222222,0.037037037037037035,0.26,0.2962962962962963,0.52,All,178.0,35.0,0.37142857142857144,0.17142857142857143,0.37142857142857144,0.2571428571428571,0.336734693877551,106.97999999999999
21,Adrian Del Castillo,680728,24,24,3,106,58,38,12,0,0,12,6,0,3,2,1,0,0,0.6551724137931034,0.5471698113207547,0.5,0.0,0.125,0.125,0.16666666666666666,All,91.0,10.0,0.6,0.0,0.3,0.0,0.3333333333333333,101.45
22,Adrian Pinto,691437,4,3,0,17,5,2,1,1,0,2,1,0,0,0,0,0,0,0.4,0.29411764705882354,0.25,0.25,0.0,0.25,0.0,All,17.0,2.0,0.5,0.0,0.0,0.0,0.2727272727272727,91.66
23,Adrian Placencia,691269,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,All,,,,,,,,
24,Adrian Santana,803745,4,4,1,6,4,4,0,0,0,4,1,0,0,1,0,0,0,1.0,0.6666666666666666,0.0,0.0,0.25,0.25,0.25,All,3.0,1.0,1.0,0.0,0.0,0.0,0.0,86.4
