,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
407,Juan M. Mejia,675848,sa3003159,COL,MLB,24.8,0.225,0.105,0.08,0.063,0.243,0.258,0.313,0.043,3.909,0.033,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
408,Jaden Hill,677955,30250,COL,MLB,25.3,0.278,0.093,0.069,0.085,0.242,0.146,0.439,0.035,3.909,0.037,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
409,Evan Justice,687145,30008,COL,MLB,26.8,0.21,0.166,0.061,0.06,0.238,0.282,0.336,0.046,3.909,0.035,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
410,Lucas Gilbreath,656458,21290,COL,MLB,29.1,0.239,0.12,0.057,0.057,0.252,0.256,0.314,0.047,4.375,0.021,0.9336666666666666,1.0813333333333333,0.9456666666666667,1.0473333333333332,1.0163333333333333,0.9510000000000001,1.0123333333333333,0.9363333333333334,1.016,0.984,0.9496666666666667,1.0873333333333333,1.0253333333333332,0.9356666666666666,1.0066666666666666,1.089
411,Sandy Alcantara,645261,18684,MIA,MLB,29.6,0.202,0.065,0.07,0.062,0.239,0.21,0.384,0.046,3.909,0.009,1.0423333333333333,0.9526666666666667,0.8646666666666667,1.1463333333333334,1.0036666666666667,1.0483333333333333,0.9116666666666666,1.137,0.9616666666666667,1.0353333333333332,1.0413333333333334,0.9333333333333333,0.9683333333333334,1.0643333333333334,1.062,0.8053333333333333
412,Connor Gillispie,687362,26171,MIA,MLB,27.4,0.198,0.094,0.085,0.069,0.234,0.336,0.272,0.039,3.909,0.014,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
413,Max Meyer,676974,27474,MIA,MLB,26.1,0.21,0.075,0.105,0.06,0.233,0.221,0.36,0.042,3.909,0.008,1.0153333333333332,0.9776666666666667,0.8803333333333333,1.1346666666666667,1.0206666666666666,1.033,1.0476666666666665,1.0153333333333334,0.9793333333333333,1.0203333333333333,0.9863333333333334,0.9833333333333333,1.025,1.0123333333333333,1.0213333333333332,0.8373333333333333
414,Cal Quantrill,615698,19312,MIA,MLB,30.2,0.151,0.092,0.078,0.063,0.242,0.252,0.319,0.045,3.909,0.015,0.9513333333333333,1.0466666666666666,0.8193333333333334,1.207,0.985,1.0753333333333335,0.8933333333333333,1.1973333333333334,1.0073333333333334,0.988,1.0156666666666667,0.9536666666666667,0.9926666666666667,1.0443333333333333,1.048,0.7913333333333333
415,Anthony Bender,669622,19742,MIA,MLB,30.2,0.255,0.079,0.071,0.062,0.244,0.201,0.363,0.048,3.909,0.018,1.099,0.846,0.908,1.1213333333333333,0.985,1.074,0.8839999999999999,1.2036666666666667,0.9383333333333334,1.0716666666666665,1.049,0.9139999999999999,1.024,1.0066666666666666,1.024,0.8226666666666667
416,Calvin Faucher,676534,20116,MIA,MLB,29.6,0.248,0.101,0.091,0.057,0.249,0.211,0.339,0.041,3.909,0.008,1.0143333333333333,0.9783333333333333,0.8896666666666667,1.1496666666666666,0.9586666666666667,1.1280000000000001,1.1436666666666666,0.8383333333333334,0.97,1.0403333333333333,1.02,0.9446666666666667,0.9963333333333333,1.0396666666666665,1.0206666666666666,0.8086666666666666
417,Ronny Henriquez,678692,24094,MIA,MLB,24.8,0.203,0.074,0.08,0.068,0.24,0.23,0.365,0.038,3.909,0.011,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
418,Anthony Veneziano,685107,27453,MIA,MLB,27.6,0.217,0.079,0.083,0.076,0.244,0.247,0.311,0.038,3.909,0.014,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
419,Lake Bachar,669199,19222,MIA,MLB,29.9,0.241,0.094,0.078,0.064,0.239,0.333,0.258,0.042,3.909,0.01,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
420,George Soriano,666277,21863,MIA,MLB,26.1,0.218,0.097,0.093,0.068,0.244,0.26,0.274,0.043,3.909,0.024,1.038,0.948,0.947,1.065,0.8853333333333333,1.1913333333333334,1.1666666666666665,0.867,1.0056666666666667,0.991,0.962,1.0173333333333332,1.0363333333333333,0.9923333333333333,0.9783333333333333,0.8776666666666666
421,Luarbert Arias,678215,23811,MIA,MLB,24.3,0.252,0.093,0.062,0.056,0.243,0.394,0.212,0.046,3.909,0.016,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
422,Xzavion Curry,675540,25595,MIA,MLB,26.7,0.164,0.066,0.08,0.073,0.247,0.322,0.229,0.039,3.909,0.006,1.003,0.991,0.8583333333333334,1.1653333333333333,1.0226666666666666,1.0293333333333334,1.0496666666666665,1.006,0.9786666666666667,1.0226666666666666,0.9966666666666667,0.9763333333333333,1.0096666666666667,1.024,0.8286666666666667,1.0523333333333333
